local_date,latitude,longitude,daytime_sampled_max_vpd_kpa
1940-04-12,-33.25,150.0,2.9792292
1940-04-12,-33.25,150.25,3.0645661
1940-04-12,-33.25,150.5,3.4220214
1940-04-13,-33.25,150.0,1.0565561
1940-04-13,-33.25,150.25,0.59166455
1940-04-13,-33.25,150.5,0.6971898
1940-04-14,-33.25,150.0,1.1460624
1940-04-14,-33.25,150.25,1.0539722
1940-04-14,-33.25,150.5,1.0426539
1940-04-15,-33.25,150.0,1.4409266
1940-04-15,-33.25,150.25,1.2913206
1940-04-15,-33.25,150.5,1.2809253
1940-04-16,-33.25,150.0,2.064449
1940-04-16,-33.25,150.25,2.1540782
1940-04-16,-33.25,150.5,2.3383074
1940-04-17,-33.25,150.0,0.8439731
1940-04-17,-33.25,150.25,0.7345852
1940-04-17,-33.25,150.5,0.7103387
1940-04-18,-33.25,150.0,0.95309675
1940-04-18,-33.25,150.25,0.7169226
1940-04-18,-33.25,150.5,0.6809015
1940-04-19,-33.25,150.0,1.1044416
1940-04-19,-33.25,150.25,0.9209198
1940-04-19,-33.25,150.5,0.921394
1940-04-20,-33.25,150.0,1.0045485
1940-04-20,-33.25,150.25,0.8757683
1940-04-20,-33.25,150.5,0.84302354
1940-04-21,-33.25,150.0,2.0648081
1940-04-21,-33.25,150.25,1.9503591
1940-04-21,-33.25,150.5,1.9129517
1940-04-22,-33.25,150.0,2.1271396
1940-04-22,-33.25,150.25,1.974338
1940-04-22,-33.25,150.5,1.9741869
1940-04-23,-33.25,150.0,2.0261672
1940-04-23,-33.25,150.25,1.9376624
1940-04-23,-33.25,150.5,1.9074346
1940-04-24,-33.25,150.0,2.0248847
1940-04-24,-33.25,150.25,1.9162407
1940-04-24,-33.25,150.5,1.9172783
1940-04-25,-33.25,150.0,2.168047
1940-04-25,-33.25,150.25,2.2613943
1940-04-25,-33.25,150.5,2.5455365
1940-04-26,-33.25,150.0,1.6395562
1940-04-26,-33.25,150.25,1.292463
1940-04-26,-33.25,150.5,1.162969
1940-04-27,-33.25,150.0,0.6531987
1940-04-27,-33.25,150.25,0.46369886
1940-04-27,-33.25,150.5,0.4105159
1940-04-28,-33.25,150.0,0.57333046
1940-04-28,-33.25,150.25,0.43864644
1940-04-28,-33.25,150.5,0.5797869
1940-04-29,-33.25,150.0,0.49461162
1940-04-29,-33.25,150.25,0.27156234
1940-04-29,-33.25,150.5,0.1591804
1940-04-30,-33.25,150.0,1.0953417
1940-04-30,-33.25,150.25,0.98372525
1940-04-30,-33.25,150.5,0.91752565
1940-05-01,-33.25,150.0,0.3892002
1940-05-01,-33.25,150.25,0.21451998
1940-05-01,-33.25,150.5,0.106081605
1940-05-02,-33.25,150.0,0.8893262
1940-05-02,-33.25,150.25,0.6760559
1940-05-02,-33.25,150.5,0.6286899
1940-05-03,-33.25,150.0,0.64692605
1940-05-03,-33.25,150.25,0.41256797
1940-05-03,-33.25,150.5,0.32186794
1940-05-04,-33.25,150.0,0.7281656
1940-05-04,-33.25,150.25,0.61948955
1940-05-04,-33.25,150.5,0.6135527
1940-05-05,-33.25,150.0,0.72070855
1940-05-05,-33.25,150.25,0.61302805
1940-05-05,-33.25,150.5,0.5983087
1940-05-06,-33.25,150.0,0.6398184
1940-05-06,-33.25,150.25,0.5465855
