date,year,month,dmi_labelled_index_value
1/10/1968,1968,10,-0.27
1/11/1968,1968,11,-0.25
1/12/1968,1968,12,-0.39
1/01/1969,1969,1,-0.66
1/02/1969,1969,2,-0.44
1/03/1969,1969,3,-0.09
1/04/1969,1969,4,0.34
1/05/1969,1969,5,-0.2
1/06/1969,1969,6,-0.97
1/07/1969,1969,7,-1.23
1/08/1969,1969,8,-0.79
1/09/1969,1969,9,-0.45
1/10/1969,1969,10,-0.28
1/11/1969,1969,11,-0.27
1/12/1969,1969,12,-0.41
1/01/1970,1970,1,-0.68
1/02/1970,1970,2,-0.47
1/03/1970,1970,3,-0.12
1/04/1970,1970,4,0.33
1/05/1970,1970,5,-0.19
1/06/1970,1970,6,-0.99
1/07/1970,1970,7,-1.25
1/08/1970,1970,8,-0.84
1/09/1970,1970,9,-0.44
1/10/1970,1970,10,-0.2
1/11/1970,1970,11,-0.21
1/12/1970,1970,12,-0.35
1/01/1971,1971,1,-0.61
1/02/1971,1971,2,-0.4
1/03/1971,1971,3,-0.12
1/04/1971,1971,4,0.36
1/05/1971,1971,5,-0.15
1/06/1971,1971,6,-1
1/07/1971,1971,7,-1.25
1/08/1971,1971,8,-0.86
1/09/1971,1971,9,-0.45
1/10/1971,1971,10,-0.21
1/11/1971,1971,11,-0.23
1/12/1971,1971,12,-0.34
1/01/1972,1972,1,-0.61
1/02/1972,1972,2,-0.42
1/03/1972,1972,3,-0.07
1/04/1972,1972,4,0.42
1/05/1972,1972,5,-0.12
1/06/1972,1972,6,-0.97
1/07/1972,1972,7,-1.22
1/08/1972,1972,8,-0.87
1/09/1972,1972,9,-0.45
1/10/1972,1972,10,-0.24
1/11/1972,1972,11,-0.2
1/12/1972,1972,12,-0.28
1/01/1973,1973,1,-0.59
1/02/1973,1973,2,-0.45
1/03/1973,1973,3,-0.07
1/04/1973,1973,4,0.44
1/05/1973,1973,5,-0.06
1/06/1973,1973,6,-0.85
1/07/1973,1973,7,-1.14
1/08/1973,1973,8,-0.8
1/09/1973,1973,9,-0.32
1/10/1973,1973,10,-0.14
1/11/1973,1973,11,-0.08
1/12/1973,1973,12,-0.23
1/01/1974,1974,1,-0.54
1/02/1974,1974,2,-0.46
1/03/1974,1974,3,-0.08
1/04/1974,1974,4,0.4
1/05/1974,1974,5,-0.05
1/06/1974,1974,6,-0.87
1/07/1974,1974,7,-1.18
1/08/1974,1974,8,-0.88
1/09/1974,1974,9,-0.4
1/10/1974,1974,10,-0.18
1/11/1974,1974,11,-0.12
1/12/1974,1974,12,-0.26
1/01/1975,1975,1,-0.55
1/02/1975,1975,2,-0.43
1/03/1975,1975,3,-0.03
1/04/1975,1975,4,0.42
1/05/1975,1975,5,-0.02
1/06/1975,1975,6,-0.81
1/07/1975,1975,7,-1.16
1/08/1975,1975,8,-0.91
1/09/1975,1975,9,-0.44
1/10/1975,1975,10,-0.22
1/11/1975,1975,11,-0.13
1/12/1975,1975,12,-0.27
1/01/1976,1976,1,-0.61
1/02/1976,1976,2,-0.46
1/03/1976,1976,3,-0.09
1/04/1976,1976,4,0.39
1/05/1976,1976,5,-0.05
1/06/1976,1976,6,-0.75
1/07/1976,1976,7,-1.09
1/08/1976,1976,8,-0.94
1/09/1976,1976,9,-0.54
1/10/1976,1976,10,-0.34
1/11/1976,1976,11,-0.18
