year,rainfall_derived_dryness_mm,annual_vpd_kpa,annual_ffdi_index,blue_mountains_lga_population_persons,chara_mean_raw_mm2_cm2_yr,raman_mean_raw_kw_m2,annual_mean_nino34_sst_anomaly_c,annual_mean_southern_oscillation_index,annual_mean_dmi_ipo_index,annual_mean_daily_max_vpd_kpa,annual_mean_vpd_smooth_365d_centered_kpa,annual_mean_vpd_smooth_1825d_centered_kpa
1917,88.41666666666652,,,,18.62359761820635,,-0.42250000000000004,2.138333333333333,,,,
1918,517.5166666666665,,,,18.62359761820635,,0.07833333333333335,0.04666666666666666,,,,
1919,265.11666666666656,,,,18.62359761820635,,0.6075,-1.0941666666666665,,,,
1920,174.01666666666665,,,,18.62359761820635,42.56816635,0.21916666666666665,0.09166666666666667,,,,
1921,-400.0833333333335,,,3712.0,19.438430766569443,40.93685716,-0.45083333333333336,0.6608333333333334,,,,
1922,231.61666666666656,,,,13.721424528982142,,-0.3325,0.33,,,,
1923,546.6166666666666,,,,13.721424528982142,,0.029166666666666674,-0.36166666666666664,,,,
1924,300.3166666666666,,,,15.614160393315478,,-0.40750000000000003,0.33749999999999997,,,,
1925,51.61666666666656,,,,15.614160393315478,50.60296342,0.18916666666666668,-0.24416666666666664,,,,
1926,96.11666666666656,,,,15.614160393315478,,0.5225,-0.4916666666666667,,,,
1927,57.01666666666665,,,,15.614160393315478,39.93199061,-0.07833333333333332,0.2733333333333334,,,,
1928,161.51666666666665,,,,13.336711776315475,43.806275685,-0.06583333333333334,0.4175,,,,
1929,-220.78333333333356,,,,9.596749414361112,38.84805734,0.085,0.4608333333333334,,,,
1930,78.51666666666665,,,,9.442395985361111,43.205460535,0.7174999999999999,0.025833333333333337,,,,
1931,-22.78333333333353,,,,12.34852745036111,25.49720563,0.45249999999999996,0.39333333333333337,,,,
1932,405.01666666666665,,,,12.34852745036111,,-0.005833333333333329,-0.6774999999999999,,,,
1933,-103.48333333333336,,,3394.0,14.974231239527777,,-0.6241666666666666,0.09416666666666666,,,,
1934,-454.78333333333353,,,,14.974231239527777,,-0.49,-0.010833333333333334,,,,
1935,451.21666666666647,,,,16.828922818833334,,-0.17,0.14083333333333334,,,,
1936,440.8166666666666,,,,16.828922818833334,,0.10999999999999999,0.03166666666666668,,,,
1937,235.61666666666656,,,,16.828922818833334,39.7785657175,0.010000000000000002,0.08333333333333333,,,,
1938,397.61666666666656,,,,19.68843425,41.658832175,-0.4575,0.8758333333333334,,,,
