date,year,month,southern_oscillation_index
2006-10-01,2006,10,-1.52
2006-11-01,2006,11,0.05
2006-12-01,2006,12,-0.39
2007-01-01,2007,1,-0.83
2007-02-01,2007,2,-0.38
2007-03-01,2007,3,-0.3
2007-04-01,2007,4,-0.35
2007-05-01,2007,5,-0.3
2007-06-01,2007,6,0.14
2007-07-01,2007,7,-0.44
2007-08-01,2007,8,0.01
2007-09-01,2007,9,0.12
2007-10-01,2007,10,0.44
2007-11-01,2007,11,0.82
2007-12-01,2007,12,1.49
2008-01-01,2008,1,1.54
2008-02-01,2008,2,2.05
2008-03-01,2008,3,1.04
2008-04-01,2008,4,0.56
2008-05-01,2008,5,-0.25
2008-06-01,2008,6,0.34
2008-07-01,2008,7,0.2
2008-08-01,2008,8,0.64
2008-09-01,2008,9,1.26
2008-10-01,2008,10,1.52
2008-11-01,2008,11,1.64
2008-12-01,2008,12,1.43
2009-01-01,2009,1,0.85
2009-02-01,2009,2,1.37
2009-03-01,2009,3,-0.21
2009-04-01,2009,4,1.06
2009-05-01,2009,5,-0.86
2009-06-01,2009,6,-0.45
2009-07-01,2009,7,0.18
2009-08-01,2009,8,-0.59
2009-09-01,2009,9,0.35
2009-10-01,2009,10,-1.66
2009-11-01,2009,11,-0.67
2009-12-01,2009,12,-0.95
2010-01-01,2010,1,-1.13
2010-02-01,2010,2,-1.59
2010-03-01,2010,3,-1.4
2010-04-01,2010,4,1.88
2010-05-01,2010,5,0.85
2010-06-01,2010,6,0.24
2010-07-01,2010,7,1.95
2010-08-01,2010,8,1.77
2010-09-01,2010,9,2.44
2010-10-01,2010,10,1.8
2010-11-01,2010,11,1.62
2010-12-01,2010,12,2.9
2011-01-01,2011,1,2.01
2011-02-01,2011,2,2.12
2011-03-01,2011,3,2.09
2011-04-01,2011,4,3.02
2011-05-01,2011,5,0.46
2011-06-01,2011,6,-0.04
2011-07-01,2011,7,1.11
2011-08-01,2011,8,0.07
2011-09-01,2011,9,1.14
2011-10-01,2011,10,0.91
2011-11-01,2011,11,1.41
2011-12-01,2011,12,2.45
2012-01-01,2012,1,0.9
2012-02-01,2012,2,0.22
2012-03-01,2012,3,0.2
2012-04-01,2012,4,-0.65
2012-05-01,2012,5,-0.38
2012-06-01,2012,6,-1.51
2012-07-01,2012,7,-0.15
2012-08-01,2012,8,-0.74
2012-09-01,2012,9,0.22
2012-10-01,2012,10,0.17
2012-11-01,2012,11,0.33
2012-12-01,2012,12,-0.77
2013-01-01,2013,1,-0.1
2013-02-01,2013,2,-0.47
2013-03-01,2013,3,1.06
2013-04-01,2013,4,0.01
2013-05-01,2013,5,0.9
2013-06-01,2013,6,1.45
2013-07-01,2013,7,0.76
2013-08-01,2013,8,-0.23
2013-09-01,2013,9,0.41
2013-10-01,2013,10,-0.34
2013-11-01,2013,11,0.75
2013-12-01,2013,12,-0.05
2014-01-01,2014,1,1.19
2014-02-01,2014,2,-0.32
2014-03-01,2014,3,-1.7
2014-04-01,2014,4,0.81
2014-05-01,2014,5,0.72
2014-06-01,2014,6,-0.46
2014-07-01,2014,7,-0.26
2014-08-01,2014,8,-1.42
2014-09-01,2014,9,-0.66
2014-10-01,2014,10,-0.86
2014-11-01,2014,11,-0.96
2014-12-01,2014,12,-0.66
2015-01-01,2015,1,-0.87
2015-02-01,2015,2,-0.04
2015-03-01,2015,3,-1.4
2015-04-01,2015,4,-0.27
2015-05-01,2015,5,-1.04
2015-06-01,2015,6,-1.72
2015-07-01,2015,7,-1.41
2015-08-01,2015,8,-2.15
2015-09-01,2015,9,-1.65
2015-10-01,2015,10,-1.91
2015-11-01,2015,11,-0.63
2015-12-01,2015,12,-1.0
2016-01-01,2016,1,-2.12
2016-02-01,2016,2,-2.09
2016-03-01,2016,3,-0.75
2016-04-01,2016,4,-2.61
2016-05-01,2016,5,0.22
2016-06-01,2016,6,0.44
2016-07-01,2016,7,0.45
2016-08-01,2016,8,0.4
2016-09-01,2016,9,1.28
2016-10-01,2016,10,-0.66
2016-11-01,2016,11,-0.23
2016-12-01,2016,12,0.19
2017-01-01,2017,1,0.08
2017-02-01,2017,2,-0.33
2017-03-01,2017,3,0.41
2017-04-01,2017,4,-0.75
2017-05-01,2017,5,0.23
2017-06-01,2017,6,-1.39
2017-07-01,2017,7,0.85
2017-08-01,2017,8,0.17
2017-09-01,2017,9,0.62
2017-10-01,2017,10,0.75
2017-11-01,2017,11,0.94
2017-12-01,2017,12,-0.27
2018-01-01,2018,1,0.91
2018-02-01,2018,2,-0.73
2018-03-01,2018,3,1.03
2018-04-01,2018,4,0.58
2018-05-01,2018,5,0.56
2018-06-01,2018,6,-0.74
2018-07-01,2018,7,0.18
2018-08-01,2018,8,-0.87
2018-09-01,2018,9,-0.99
2018-10-01,2018,10,0.27
2018-11-01,2018,11,-0.08
2018-12-01,2018,12,0.93
2019-01-01,2019,1,-0.16
2019-02-01,2019,2,-1.43
2019-03-01,2019,3,-0.91
2019-04-01,2019,4,-0.03
2019-05-01,2019,5,-0.71
2019-06-01,2019,6,-1.36
2019-07-01,2019,7,-0.51
2019-08-01,2019,8,-0.7
2019-09-01,2019,9,-1.26
2019-10-01,2019,10,-0.66
2019-11-01,2019,11,-1.03
2019-12-01,2019,12,-0.73
2020-01-01,2020,1,0.01
2020-02-01,2020,2,-0.31
2020-03-01,2020,3,-0.75
2020-04-01,2020,4,0.16
2020-05-01,2020,5,0.71
2020-06-01,2020,6,-1.36
2020-07-01,2020,7,0.44
2020-08-01,2020,8,0.85
2020-09-01,2020,9,0.98
2020-10-01,2020,10,0.27
2020-11-01,2020,11,0.85
2020-12-01,2020,12,1.76
2021-01-01,2021,1,1.64
2021-02-01,2021,2,1.02
2021-03-01,2021,3,-0.2
2021-04-01,2021,4,0.3
2021-05-01,2021,5,0.49
2021-06-01,2021,6,0.22
2021-07-01,2021,7,1.61
2021-08-01,2021,8,0.27
2021-09-01,2021,9,0.86
2021-10-01,2021,10,0.51
2021-11-01,2021,11,1.12
2021-12-01,2021,12,1.43
2022-01-01,2022,1,0.34
2022-02-01,2022,2,0.76
2022-03-01,2022,3,1.35
2022-04-01,2022,4,2.69
2022-05-01,2022,5,1.9
2022-06-01,2022,6,2.45
2022-07-01,2022,7,0.91
2022-08-01,2022,8,0.81
2022-09-01,2022,9,1.73
2022-10-01,2022,10,1.73
2022-11-01,2022,11,0.31
2022-12-01,2022,12,2.11
2023-01-01,2023,1,1.14
2023-02-01,2023,2,0.93
2023-03-01,2023,3,-0.38
2023-04-01,2023,4,-0.03
2023-05-01,2023,5,-1.6
2023-06-01,2023,6,-0.12
2023-07-01,2023,7,-0.38
2023-08-01,2023,8,-1.6
2023-09-01,2023,9,-1.36
2023-10-01,2023,10,-0.6
2023-11-01,2023,11,-0.9
2023-12-01,2023,12,-0.39
2024-01-01,2024,1,0.31
2024-02-01,2024,2,-1.47
2024-03-01,2024,3,-0.2
2024-04-01,2024,4,-0.69
2024-05-01,2024,5,0.57
2024-06-01,2024,6,-0.43
2024-07-01,2024,7,-0.65
2024-08-01,2024,8,0.59
2024-09-01,2024,9,-0.12
2024-10-01,2024,10,0.35
2024-11-01,2024,11,0.61
2024-12-01,2024,12,1.09
2025-01-01,2025,1,0.26
2025-02-01,2025,2,0.7
2025-03-01,2025,3,0.88
2025-04-01,2025,4,0.47
2025-05-01,2025,5,0.42
2025-06-01,2025,6,0.16
2025-07-01,2025,7,0.7
2025-08-01,2025,8,
2025-09-01,2025,9,
2025-10-01,2025,10,
2025-11-01,2025,11,
2025-12-01,2025,12,
