date,year,month,southern_oscillation_index
1894-05-01,1894,5,-0.86
1894-06-01,1894,6,-0.01
1894-07-01,1894,7,0.47
1894-08-01,1894,8,-1.4
1894-09-01,1894,9,-0.24
1894-10-01,1894,10,0.31
1894-11-01,1894,11,-0.89
1894-12-01,1894,12,0.07
1895-01-01,1895,1,0.54
1895-02-01,1895,2,0.62
1895-03-01,1895,3,-0.26
1895-04-01,1895,4,1.34
1895-05-01,1895,5,0.65
1895-06-01,1895,6,-1.26
1895-07-01,1895,7,-0.75
1895-08-01,1895,8,-1.02
1895-09-01,1895,9,-0.52
1895-10-01,1895,10,-0.82
1895-11-01,1895,11,-0.47
1895-12-01,1895,12,-1.0
1896-01-01,1896,1,0.07
1896-02-01,1896,2,0.37
1896-03-01,1896,3,-0.84
1896-04-01,1896,4,-1.19
1896-05-01,1896,5,-3.23
1896-06-01,1896,6,-2.99
1896-07-01,1896,7,-1.39
1896-08-01,1896,8,-2.55
1896-09-01,1896,9,-1.88
1896-10-01,1896,10,-2.01
1896-11-01,1896,11,-1.26
1896-12-01,1896,12,-1.69
1897-01-01,1897,1,-1.42
1897-02-01,1897,2,-0.86
1897-03-01,1897,3,-2.01
1897-04-01,1897,4,-2.0
1897-05-01,1897,5,-1.59
1897-06-01,1897,6,-0.16
1897-07-01,1897,7,-0.19
1897-08-01,1897,8,-0.11
1897-09-01,1897,9,-0.0
1897-10-01,1897,10,0.1
1897-11-01,1897,11,-0.96
1897-12-01,1897,12,1.04
1898-01-01,1898,1,0.65
1898-02-01,1898,2,0.47
1898-03-01,1898,3,2.02
1898-04-01,1898,4,1.34
1898-05-01,1898,5,-0.11
1898-06-01,1898,6,-0.51
1898-07-01,1898,7,0.65
1898-08-01,1898,8,0.72
1898-09-01,1898,9,0.88
1898-10-01,1898,10,0.34
1898-11-01,1898,11,0.02
1898-12-01,1898,12,0.42
1899-01-01,1899,1,1.31
1899-02-01,1899,2,0.87
1899-03-01,1899,3,1.38
1899-04-01,1899,4,0.49
1899-05-01,1899,5,-0.76
1899-06-01,1899,6,-1.43
1899-07-01,1899,7,-0.53
1899-08-01,1899,8,-1.18
1899-09-01,1899,9,-0.19
1899-10-01,1899,10,0.74
1899-11-01,1899,11,1.66
1899-12-01,1899,12,-0.44
1900-01-01,1900,1,-0.89
1900-02-01,1900,2,-0.73
1900-03-01,1900,3,-2.95
1900-04-01,1900,4,-2.1
1900-05-01,1900,5,-0.76
1900-06-01,1900,6,3.1
1900-07-01,1900,7,1.02
1900-08-01,1900,8,0.75
1900-09-01,1900,9,-1.61
1900-10-01,1900,10,-2.13
1900-11-01,1900,11,-0.75
1900-12-01,1900,12,-0.73
1901-01-01,1901,1,-0.09
1901-02-01,1901,2,0.21
1901-03-01,1901,3,0.88
1901-04-01,1901,4,0.64
1901-05-01,1901,5,0.08
1901-06-01,1901,6,2.3
1901-07-01,1901,7,1.51
1901-08-01,1901,8,0.8
1901-09-01,1901,9,-1.58
1901-10-01,1901,10,-2.69
1901-11-01,1901,11,-0.95
1901-12-01,1901,12,-0.32
1902-01-01,1902,1,1.68
1902-02-01,1902,2,-0.28
1902-03-01,1902,3,1.1
1902-04-01,1902,4,1.15
1902-05-01,1902,5,1.41
1902-06-01,1902,6,0.24
1902-07-01,1902,7,0.21
1902-08-01,1902,8,-1.09
1902-09-01,1902,9,-1.76
1902-10-01,1902,10,-0.77
1902-11-01,1902,11,-0.26
1902-12-01,1902,12,-0.45
1903-01-01,1903,1,-1.1
1903-02-01,1903,2,-1.11
1903-03-01,1903,3,1.8
1903-04-01,1903,4,2.18
1903-05-01,1903,5,0.92
1903-06-01,1903,6,-0.22
1903-07-01,1903,7,0.6
1903-08-01,1903,8,-0.15
1903-09-01,1903,9,0.81
1903-10-01,1903,10,0.3
1903-11-01,1903,11,-0.05
1903-12-01,1903,12,1.66
1904-01-01,1904,1,1.39
1904-02-01,1904,2,1.53
1904-03-01,1904,3,0.89
1904-04-01,1904,4,3.64
1904-05-01,1904,5,1.0
1904-06-01,1904,6,-1.01
1904-07-01,1904,7,-0.87
1904-08-01,1904,8,-0.11
1904-09-01,1904,9,-0.01
1904-10-01,1904,10,-0.11
1904-11-01,1904,11,-1.81
1904-12-01,1904,12,0.18
1905-01-01,1905,1,-1.08
1905-02-01,1905,2,-1.84
1905-03-01,1905,3,-3.51
1905-04-01,1905,4,-3.05
1905-05-01,1905,5,-1.68
1905-06-01,1905,6,-2.29
1905-07-01,1905,7,-2.11
1905-08-01,1905,8,-0.96
1905-09-01,1905,9,-0.7
1905-10-01,1905,10,-0.83
1905-11-01,1905,11,-1.81
1905-12-01,1905,12,-1.57
1906-01-01,1906,1,-0.43
1906-02-01,1906,2,-0.88
1906-03-01,1906,3,-0.56
1906-04-01,1906,4,-0.84
1906-05-01,1906,5,-1.03
1906-06-01,1906,6,-0.71
1906-07-01,1906,7,0.68
1906-08-01,1906,8,1.43
1906-09-01,1906,9,1.75
1906-10-01,1906,10,0.81
1906-11-01,1906,11,1.95
1906-12-01,1906,12,0.3
1907-01-01,1907,1,0.56
1907-02-01,1907,2,-0.23
1907-03-01,1907,3,-0.32
1907-04-01,1907,4,-0.84
1907-05-01,1907,5,-0.57
1907-06-01,1907,6,0.45
1907-07-01,1907,7,-0.03
1907-08-01,1907,8,-1.05
1907-09-01,1907,9,-0.07
1907-10-01,1907,10,-0.43
1907-11-01,1907,11,-0.58
1907-12-01,1907,12,0.65
1908-01-01,1908,1,-0.99
1908-02-01,1908,2,0.84
1908-03-01,1908,3,-0.41
1908-04-01,1908,4,1.02
1908-05-01,1908,5,0.18
1908-06-01,1908,6,-0.63
1908-07-01,1908,7,1.43
1908-08-01,1908,8,0.2
1908-09-01,1908,9,1.67
1908-10-01,1908,10,0.72
1908-11-01,1908,11,0.09
1908-12-01,1908,12,-0.71
1909-01-01,1909,1,-0.3
1909-02-01,1909,2,-0.4
1909-03-01,1909,3,-0.15
1909-04-01,1909,4,-1.78
1909-05-01,1909,5,0.07
1909-06-01,1909,6,2.63
1909-07-01,1909,7,1.08
1909-08-01,1909,8,0.89
1909-09-01,1909,9,0.06
1909-10-01,1909,10,0.2
1909-11-01,1909,11,0.74
1909-12-01,1909,12,0.41
1910-01-01,1910,1,0.6
1910-02-01,1910,2,1.42
1910-03-01,1910,3,1.25
1910-04-01,1910,4,0.39
1910-05-01,1910,5,0.09
1910-06-01,1910,6,2.49
1910-07-01,1910,7,2.07
1910-08-01,1910,8,0.89
1910-09-01,1910,9,1.46
1910-10-01,1910,10,1.04
1910-11-01,1910,11,1.74
1910-12-01,1910,12,1.66
1911-01-01,1911,1,0.3
1911-02-01,1911,2,0.01
1911-03-01,1911,3,0.22
1911-04-01,1911,4,0.05
1911-05-01,1911,5,-0.74
1911-06-01,1911,6,-1.55
1911-07-01,1911,7,-1.26
1911-08-01,1911,8,-1.41
1911-09-01,1911,9,-0.88
1911-10-01,1911,10,-1.3
1911-11-01,1911,11,-0.81
1911-12-01,1911,12,-0.27
1912-01-01,1912,1,-1.11
1912-02-01,1912,2,-1.83
1912-03-01,1912,3,-1.14
1912-04-01,1912,4,-2.27
1912-05-01,1912,5,-1.12
1912-06-01,1912,6,-0.99
1912-07-01,1912,7,-0.05
1912-08-01,1912,8,-0.94
1912-09-01,1912,9,-0.4
1912-10-01,1912,10,-0.97
1912-11-01,1912,11,0.12
1912-12-01,1912,12,-1.01
1913-01-01,1913,1,-0.41
1913-02-01,1913,2,-0.63
1913-03-01,1913,3,0.01
1913-04-01,1913,4,-0.79
1913-05-01,1913,5,-0.56
1913-06-01,1913,6,-0.6
1913-07-01,1913,7,-0.12
1913-08-01,1913,8,-0.92
1913-09-01,1913,9,-0.95
1913-10-01,1913,10,-1.02
1913-11-01,1913,11,-1.25
1913-12-01,1913,12,-0.89
1914-01-01,1914,1,-0.74
1914-02-01,1914,2,0.18
1914-03-01,1914,3,0.88
1914-04-01,1914,4,-2.27
1914-05-01,1914,5,-1.21
1914-06-01,1914,6,-2.64
1914-07-01,1914,7,-0.97
1914-08-01,1914,8,-1.84
1914-09-01,1914,9,-1.47
1914-10-01,1914,10,-0.73
1914-11-01,1914,11,-0.47
1914-12-01,1914,12,0.17
1915-01-01,1915,1,-2.71
1915-02-01,1915,2,-0.59
1915-03-01,1915,3,-2.49
1915-04-01,1915,4,-1.49
1915-05-01,1915,5,1.22
1915-06-01,1915,6,2.68
1915-07-01,1915,7,2.53
1915-08-01,1915,8,1.3
1915-09-01,1915,9,1.34
1915-10-01,1915,10,0.95
1915-11-01,1915,11,-1.74
1915-12-01,1915,12,0.99
1916-01-01,1916,1,0.56
1916-02-01,1916,2,-0.52
1916-03-01,1916,3,-0.83
1916-04-01,1916,4,0.01
1916-05-01,1916,5,0.43
1916-06-01,1916,6,0.75
1916-07-01,1916,7,2.57
1916-08-01,1916,8,1.51
1916-09-01,1916,9,0.42
1916-10-01,1916,10,0.36
1916-11-01,1916,11,0.77
1916-12-01,1916,12,1.62
1917-01-01,1917,1,0.46
1917-02-01,1917,2,0.98
1917-03-01,1917,3,1.86
1917-04-01,1917,4,2.58
1917-05-01,1917,5,2.4
1917-06-01,1917,6,2.39
1917-07-01,1917,7,2.83
1917-08-01,1917,8,3.48
1917-09-01,1917,9,2.84
1917-10-01,1917,10,1.51
1917-11-01,1917,11,1.93
1917-12-01,1917,12,2.4
1918-01-01,1918,1,1.46
1918-02-01,1918,2,1.58
1918-03-01,1918,3,-0.39
1918-04-01,1918,4,2.07
1918-05-01,1918,5,1.09
1918-06-01,1918,6,-0.78
1918-07-01,1918,7,-1.38
1918-08-01,1918,8,-0.64
1918-09-01,1918,9,-0.85
1918-10-01,1918,10,-0.62
1918-11-01,1918,11,0.02
1918-12-01,1918,12,-1.0
1919-01-01,1919,1,-1.62
1919-02-01,1919,2,-1.19
1919-03-01,1919,3,-1.57
1919-04-01,1919,4,-0.37
1919-05-01,1919,5,-0.96
1919-06-01,1919,6,-1.46
1919-07-01,1919,7,-0.87
1919-08-01,1919,8,-0.9
1919-09-01,1919,9,-0.59
1919-10-01,1919,10,-1.25
1919-11-01,1919,11,-1.23
1919-12-01,1919,12,-1.12
1920-01-01,1920,1,0.18
1920-02-01,1920,2,-0.29
1920-03-01,1920,3,-0.63
1920-04-01,1920,4,-0.1
1920-05-01,1920,5,-0.4
1920-06-01,1920,6,0.4
1920-07-01,1920,7,0.92
1920-08-01,1920,8,0.44
1920-09-01,1920,9,0.47
1920-10-01,1920,10,-0.69
1920-11-01,1920,11,-0.19
1920-12-01,1920,12,0.99
1921-01-01,1921,1,1.09
1921-02-01,1921,2,0.58
1921-03-01,1921,3,1.07
1921-04-01,1921,4,-1.28
1921-05-01,1921,5,-0.01
1921-06-01,1921,6,4.07
1921-07-01,1921,7,0.29
1921-08-01,1921,8,-0.88
1921-09-01,1921,9,0.46
1921-10-01,1921,10,0.97
1921-11-01,1921,11,0.76
1921-12-01,1921,12,0.81
1922-01-01,1922,1,0.78
1922-02-01,1922,2,0.77
1922-03-01,1922,3,0.48
1922-04-01,1922,4,-0.69
1922-05-01,1922,5,-0.76
1922-06-01,1922,6,0.45
1922-07-01,1922,7,0.23
1922-08-01,1922,8,-0.28
1922-09-01,1922,9,0.46
1922-10-01,1922,10,0.55
1922-11-01,1922,11,0.76
1922-12-01,1922,12,1.21
1923-01-01,1923,1,0.56
1923-02-01,1923,2,0.34
1923-03-01,1923,3,0.84
1923-04-01,1923,4,0.81
1923-05-01,1923,5,-0.01
1923-06-01,1923,6,-0.17
1923-07-01,1923,7,-1.11
1923-08-01,1923,8,-2.14
1923-09-01,1923,9,-1.46
1923-10-01,1923,10,-0.72
1923-11-01,1923,11,-1.41
1923-12-01,1923,12,0.13
1924-01-01,1924,1,-0.68
1924-02-01,1924,2,0.01
1924-03-01,1924,3,0.11
1924-04-01,1924,4,-1.95
1924-05-01,1924,5,1.19
1924-06-01,1924,6,0.84
1924-07-01,1924,7,0.78
1924-08-01,1924,8,0.88
1924-09-01,1924,9,0.74
1924-10-01,1924,10,0.63
1924-11-01,1924,11,1.02
1924-12-01,1924,12,0.48
1925-01-01,1925,1,0.54
1925-02-01,1925,2,1.22
1925-03-01,1925,3,1.52
1925-04-01,1925,4,1.48
1925-05-01,1925,5,-0.3
1925-06-01,1925,6,-0.82
1925-07-01,1925,7,-1.31
1925-08-01,1925,8,-1.24
1925-09-01,1925,9,-0.66
1925-10-01,1925,10,-1.5
1925-11-01,1925,11,-0.97
1925-12-01,1925,12,-0.89
1926-01-01,1926,1,-0.62
1926-02-01,1926,2,-1.56
1926-03-01,1926,3,-1.65
1926-04-01,1926,4,-0.75
1926-05-01,1926,5,-0.28
1926-06-01,1926,6,-1.05
1926-07-01,1926,7,-0.09
1926-08-01,1926,8,-0.92
1926-09-01,1926,9,0.12
1926-10-01,1926,10,0.24
1926-11-01,1926,11,0.07
1926-12-01,1926,12,0.59
1927-01-01,1927,1,0.51
1927-02-01,1927,2,0.01
1927-03-01,1927,3,1.84
1927-04-01,1927,4,0.75
1927-05-01,1927,5,0.62
1927-06-01,1927,6,0.91
1927-07-01,1927,7,0.17
1927-08-01,1927,8,-0.75
1927-09-01,1927,9,-0.07
1927-10-01,1927,10,-0.55
1927-11-01,1927,11,-0.91
1927-12-01,1927,12,0.75
1928-01-01,1928,1,-1.22
1928-02-01,1928,2,0.95
1928-03-01,1928,3,1.38
1928-04-01,1928,4,1.44
1928-05-01,1928,5,-0.09
1928-06-01,1928,6,-1.15
1928-07-01,1928,7,-0.02
1928-08-01,1928,8,0.8
1928-09-01,1928,9,0.74
1928-10-01,1928,10,0.77
1928-11-01,1928,11,0.21
1928-12-01,1928,12,1.2
1929-01-01,1929,1,1.74
1929-02-01,1929,2,1.69
1929-03-01,1929,3,0.41
1929-04-01,1929,4,0.58
1929-05-01,1929,5,-1.2
1929-06-01,1929,6,0.06
1929-07-01,1929,7,0.21
1929-08-01,1929,8,-0.17
1929-09-01,1929,9,-0.07
1929-10-01,1929,10,0.8
1929-11-01,1929,11,0.95
1929-12-01,1929,12,0.53
1930-01-01,1930,1,1.31
1930-02-01,1930,2,0.68
1930-03-01,1930,3,0.04
1930-04-01,1930,4,-0.33
1930-05-01,1930,5,0.47
1930-06-01,1930,6,-0.84
1930-07-01,1930,7,-0.4
1930-08-01,1930,8,-0.39
1930-09-01,1930,9,-0.72
1930-10-01,1930,10,0.46
